player_name,club_name,position_name,now_cost,total_points,event_points,points_per_game,selected_by_percent,goals_scored,assists,minutes,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,saves,yellow_cards,red_cards,bonus,influence,creativity,threat,ict_index,form,dreamteam_count,value_form,value_season,transfers_in,transfers_out,transfers_in_event,transfers_out_event,cost_change_start,cost_change_start_fall,cost_change_event,cost_change_event_fall,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution,defensive_contribution_per_90,news,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
Erling Haaland,Man City,FWD,15.0,151,16,8.9,73.9,19,4,1462,9,15,0,0,1,0,0,0,31,772.2,116.3,889.0,177.9,8.2,8,0.5,10.1,6443736,837434,21571,1686,1.0,-1.0,0.0,0.0,16.02,1.09,17.11,18.44,17,7,31,19,57,3.51,,1,1,153,11,1,1,1,1,,,,,1.0,,0.99,0.0,0.07,1.06,1.14,0.92,1,1,4,1,1,1,1,1,1.05,0.55
Antoine Semenyo,Bournemouth,MID,7.7,99,10,6.2,45.6,8,4,1440,5,27,0,0,1,0,4,0,12,457.4,311.6,475.0,124.6,4.0,3,0.5,12.9,8431884,4227975,83535,21108,0.7,-0.7,0.1,-0.1,5.41,1.71,7.12,22.36,16,25,18,81,124,7.75,,8,2,34,32,6,2,4,3,,,4.0,,3.0,,0.34,0.0,0.11,0.45,1.4,1.69,20,14,65,31,4,1,2,1,1.0,0.31
Bruno B.Fernandes,Man Utd,MID,9.4,99,1,5.8,30.6,5,7,1475,1,27,0,0,2,0,2,0,17,599.0,741.2,331.0,167.4,8.2,3,0.9,10.5,3770967,2638638,83106,59856,0.4,-0.4,0.1,-0.1,7.01,4.15,11.16,22.18,17,29,48,96,173,10.56,,2,1,1,1,24,13,2,1,1.0,,1.0,,1.0,,0.43,0.0,0.25,0.68,1.35,1.65,6,4,3,3,10,4,9,3,1.04,0.06
Declan Rice,Arsenal,MID,7.1,97,11,5.7,23.0,2,6,1425,8,10,0,0,0,0,1,0,15,423.6,512.8,163.0,110.0,5.3,3,0.7,13.7,3495602,1737749,88979,12894,0.6,-0.6,0.0,0.0,1.82,3.42,5.24,9.32,16,28,60,84,172,10.86,,12,4,3,3,85,52,12,10,1.0,,1.0,,,,0.11,0.0,0.22,0.33,0.59,0.63,33,19,17,10,11,5,14,4,1.01,0.51
Trevoh Chalobah,Chelsea,DEF,5.5,94,3,5.9,19.0,3,1,1380,8,16,0,0,0,0,2,1,7,418.0,77.0,134.0,62.9,6.5,2,1.2,17.1,3112740,1071419,48725,17128,0.5,-0.5,0.0,0.0,0.92,0.65,1.57,18.55,16,24,113,62,137,8.93,,15,6,212,56,111,16,78,18,,,,,,,0.06,0.0,0.04,0.1,1.21,1.04,138,16,8,1,8,3,18,6,1.04,0.52
Marc Guéhi,Crystal Palace,DEF,5.3,93,1,5.8,41.5,2,4,1440,6,19,0,0,0,0,3,0,8,406.8,126.4,151.0,68.4,4.8,3,0.9,17.5,4709698,1197958,34195,32489,0.8,-0.8,0.0,0.0,1.29,1.42,2.71,21.05,16,27,104,62,131,8.19,,21,8,142,35,97,13,62,12,,,,,,,0.08,0.0,0.09,0.17,1.32,1.19,191,28,28,9,9,4,3,1,1.0,0.38
Phil Foden,Man City,MID,8.9,91,3,6.1,40.0,7,2,1225,8,11,0,0,0,0,3,0,10,412.6,511.6,292.0,121.4,10.0,3,1.1,10.2,5525991,784739,68019,21888,0.9,-0.9,0.0,0.0,4.03,2.64,6.67,14.85,14,20,17,58,95,6.98,,17,5,4,4,31,18,5,4,1.0,,3.0,,,,0.3,0.0,0.19,0.49,1.09,0.81,7,5,1,1,5,2,4,2,1.03,0.59
Morgan Rogers,Aston Villa,MID,7.1,91,15,5.4,15.4,7,3,1516,5,18,0,0,0,0,2,0,10,412.4,258.1,367.0,103.6,9.3,3,1.3,12.8,2300831,1496638,156192,12960,0.1,-0.1,0.0,0.0,2.31,1.58,3.89,23.17,17,18,26,61,105,6.23,,18,6,46,38,14,6,16,14,,,,,,,0.14,0.0,0.09,0.23,1.38,1.07,34,20,2,2,14,6,22,8,1.01,0.3
Daniel Muñoz,Crystal Palace,DEF,5.9,89,0,6.4,9.1,3,3,1260,7,11,0,0,0,0,4,0,7,336.0,128.1,240.0,70.2,4.8,2,0.8,15.1,3170584,3151201,829,93718,0.4,-0.4,0.0,0.0,1.78,1.99,3.77,16.81,14,31,70,54,101,7.21,Knee injury - Expected back 17 Jan,52,24,138,34,49,2,55,8,,,,,,,0.13,0.0,0.14,0.27,1.2,0.79,99,6,29,10,3,2,46,16,1.0,0.5
Jurriën J.Timber,Arsenal,DEF,6.5,86,6,5.1,33.3,2,3,1377,7,10,0,0,0,0,2,0,7,311.2,228.9,279.0,82.1,3.2,2,0.5,13.2,5025888,1551857,36003,18565,1.0,-1.0,0.0,0.0,3.76,0.81,4.57,8.76,15,43,43,57,86,5.62,,73,32,61,13,35,1,32,2,,,,,,,0.25,0.0,0.05,0.3,0.57,0.65,51,1,113,41,21,10,8,2,0.98,0.46
Bruno Bruno G.,Newcastle,MID,7.0,84,2,5.2,14.2,5,4,1389,4,22,0,0,0,0,4,0,12,384.2,335.7,173.0,89.3,5.7,1,0.8,12.0,2181189,664187,30150,61454,0.5,-0.5,0.0,0.0,2.28,1.55,3.83,17.56,15,31,29,79,139,9.01,,26,7,25,24,80,49,27,21,,,,,,,0.15,0.0,0.1,0.25,1.14,1.43,37,22,12,6,17,8,27,11,0.97,0.26
Igor Thiago Thiago,Brentford,FWD,7.1,84,2,4.9,34.5,11,0,1401,3,23,0,0,1,0,3,0,12,467.6,125.2,511.0,110.4,4.0,3,0.6,11.8,5561190,1360217,13675,330910,1.1,-1.1,-0.1,0.1,9.0,0.33,9.33,21.24,16,15,37,33,85,5.46,,7,2,143,9,4,3,10,2,,,,,2.0,,0.58,0.0,0.02,0.6,1.36,1.48,35,15,64,7,25,2,6,2,1.03,0.19
Maxence Lacroix,Crystal Palace,DEF,5.2,82,1,4.8,7.1,0,2,1530,7,19,0,0,0,0,2,0,4,393.6,47.6,70.0,51.0,4.3,1,0.8,15.8,1219409,535308,9668,20853,0.2,-0.2,0.0,0.0,0.57,0.26,0.83,21.43,17,37,146,51,183,10.76,,25,11,276,86,206,50,116,39,,,,,,,0.03,0.0,0.02,0.05,1.26,1.12,214,32,46,18,30,14,60,21,1.0,0.41
Rúben Rúben,Man City,DEF,5.7,81,6,4.8,7.1,2,0,1445,8,15,0,0,0,0,0,0,3,404.4,78.2,61.0,54.5,6.0,1,1.1,14.2,779395,409965,26983,4175,0.2,-0.2,0.0,0.0,0.42,0.41,0.83,17.8,16,7,105,45,112,6.98,,22,9,210,54,230,63,102,29,,,,,,,0.03,0.0,0.03,0.06,1.11,0.93,114,9,10,2,31,15,59,20,1.0,0.5
Gabriel Gabriel,Arsenal,DEF,6.2,81,0,7.4,12.7,1,2,990,7,5,0,0,0,0,1,0,13,318.6,62.6,88.0,46.9,0.0,3,0.0,13.1,3888229,4825722,1214,25421,0.2,-0.2,0.0,0.0,0.82,0.69,1.51,6.17,11,12,88,15,100,9.09,Thigh injury - 25% chance of playing,64,28,242,71,179,38,141,51,,,,,,,0.07,0.0,0.06,0.13,0.56,0.45,77,3,754,253,2,1,30,10,1.0,0.64
Michael Keane,Everton,DEF,4.7,81,4,5.1,3.7,2,0,1414,5,20,0,0,0,0,0,0,6,418.4,24.5,131.0,57.3,4.2,1,0.9,17.2,613660,225525,47987,2654,0.2,-0.2,0.1,-0.1,1.16,0.13,1.29,23.8,16,16,144,45,160,10.18,,14,5,335,114,114,18,92,23,,,,,,,0.07,0.0,0.01,0.08,1.51,1.27,370,64,52,20,19,8,94,34,1.02,0.32
Robin Roefs,Sunderland,GKP,4.8,80,7,4.7,9.3,0,0,1530,6,17,0,1,0,59,2,0,9,471.8,40.0,0.0,51.1,4.0,3,0.8,16.7,1378342,392530,29958,2492,0.3,-0.3,0.0,0.0,0.0,0.03,0.03,22.36,17,0,15,175,0,0.0,,6,1,292,2,695,76,115,1,,,,,,,0.0,3.47,0.0,0.0,1.32,1.0,362,16,60,6,36,2,44,6,1.0,0.35
Harry Wilson,Fulham,MID,5.7,78,0,5.2,19.2,5,5,1066,3,17,0,0,0,0,2,0,11,317.0,239.5,241.0,79.5,7.3,1,1.3,13.7,2458440,148122,137361,5984,0.2,-0.2,0.0,0.0,2.38,1.64,4.02,13.88,13,15,26,38,79,6.67,,69,21,56,46,48,31,37,28,3.0,,3.0,,3.0,,0.2,0.0,0.14,0.34,1.17,1.44,113,74,6,4,15,7,17,6,1.1,0.25
Pedro Neto,Chelsea,MID,7.3,78,2,4.6,9.2,5,3,1324,8,10,0,0,0,0,2,0,6,342.4,425.8,337.0,110.7,4.3,1,0.6,10.7,1645115,1038850,14767,32049,0.3,-0.3,0.0,0.0,3.09,3.12,6.21,17.83,16,9,10,47,66,4.49,,43,11,11,11,23,12,9,8,1.0,,4.0,,,,0.21,0.0,0.21,0.42,1.21,0.68,27,18,49,21,43,16,45,17,1.09,0.54
Bukayo Saka,Arsenal,MID,10.3,78,3,5.2,22.4,4,4,1148,6,7,0,0,0,0,1,0,8,321.8,428.7,393.0,114.4,5.5,1,0.5,7.6,3471994,2574382,15874,57152,0.3,-0.3,0.0,0.0,4.21,3.73,7.94,7.26,13,21,7,65,93,7.29,,62,17,9,9,10,4,7,6,2.0,,,,1.0,,0.33,0.0,0.29,0.62,0.57,0.55,5,3,15,8,18,9,16,5,1.02,0.47
Hugo Ekitiké,Liverpool,FWD,8.8,77,9,4.8,25.6,8,1,953,4,14,0,0,0,0,0,0,16,332.8,132.2,369.0,82.4,6.3,2,0.7,8.8,4850273,3987501,330411,4168,0.3,-0.3,0.1,-0.1,4.49,0.44,4.93,14.51,11,6,20,22,48,4.53,,57,6,134,8,13,8,31,7,,,,,,,0.42,0.0,0.04,0.46,1.37,1.32,9,4,9,3,34,4,12,4,1.04,0.38
James Tarkowski,Everton,DEF,5.5,77,3,4.5,7.6,0,1,1530,6,20,0,0,0,0,4,0,5,420.6,135.5,96.0,65.4,5.7,0,1.0,14.0,989629,889195,19822,7626,0.0,0.0,0.0,0.0,0.4,0.99,1.39,24.63,17,23,152,45,175,10.29,,13,4,130,32,166,32,71,15,,,,,,,0.02,0.0,0.06,0.08,1.45,1.18,133,15,11,3,48,22,55,19,1.0,0.35
Riccardo Calafiori,Arsenal,DEF,5.7,77,6,4.8,10.1,1,2,1256,9,7,0,0,0,0,5,0,4,222.0,104.8,219.0,54.5,2.7,2,0.5,13.5,2456203,1780602,16656,5597,0.2,-0.2,0.0,0.0,2.49,0.36,2.85,7.09,16,28,57,57,85,6.09,,147,62,168,40,62,4,103,30,,,,,,,0.18,0.0,0.03,0.21,0.51,0.5,121,12,144,55,32,16,42,14,1.15,0.64
Matheus Matheus N.,Man City,DEF,5.4,76,8,5.1,2.0,1,4,1233,6,13,0,0,0,0,2,0,8,332.8,182.7,44.0,56.1,5.2,3,1.0,14.1,299870,117864,13203,1292,-0.1,0.1,0.0,0.0,0.23,1.01,1.24,14.56,13,25,74,78,99,7.23,,56,26,84,22,268,81,95,25,,,,,4.0,,0.02,0.0,0.07,0.09,1.06,0.95,170,22,18,5,20,9,129,50,0.95,0.44
Marcos Senesi,Bournemouth,DEF,4.9,76,4,4.8,17.0,0,3,1398,5,28,0,0,0,0,6,0,6,563.4,246.5,69.0,87.9,3.0,1,0.6,15.5,3973530,2160605,19792,11745,0.4,-0.4,0.0,0.0,0.52,2.87,3.39,21.06,16,33,178,72,211,13.58,,3,1,51,9,211,55,29,1,,,,,,,0.03,0.0,0.18,0.21,1.36,1.8,307,52,121,45,29,13,20,7,1.03,0.32
Jarrod Bowen,West Ham,FWD,7.6,75,1,4.4,6.9,5,2,1530,1,35,0,0,0,0,1,0,14,335.0,223.8,462.0,101.9,4.8,1,0.6,9.9,1158550,2152201,37415,16743,-0.4,0.4,0.1,-0.1,3.37,1.34,4.71,28.12,17,16,22,64,102,6.0,,54,5,65,2,7,5,18,4,,,1.0,,2.0,,0.2,0.0,0.08,0.28,1.65,2.06,21,7,31,5,58,6,61,11,1.0,0.06
Marcus Tavernier,Bournemouth,MID,5.6,75,2,4.4,3.1,4,2,1336,6,25,0,0,0,0,1,0,8,319.6,360.8,268.0,95.0,4.7,2,0.8,13.4,672285,366710,16054,7302,0.1,-0.1,0.0,0.0,3.83,1.83,5.66,18.57,15,21,32,67,120,8.08,,63,18,21,21,39,23,23,18,2.0,,1.0,,4.0,,0.26,0.0,0.12,0.38,1.25,1.68,127,80,36,16,53,20,101,32,1.01,0.4
Kiernan Dewsbury-Hall,Everton,MID,5.1,75,0,5.0,6.5,4,3,1257,6,16,0,0,0,0,5,0,10,286.8,315.4,189.0,79.1,6.7,3,1.3,14.7,1493264,1205354,1384,96911,0.1,-0.1,0.0,0.0,1.59,2.75,4.34,17.55,15,26,28,55,109,7.8,Hamstring injury - Unknown return date,91,29,33,31,69,42,39,30,2.0,,,,,,0.11,0.0,0.2,0.31,1.26,1.15,232,142,7,5,23,10,67,23,1.07,0.43
Chris Richards,Crystal Palace,DEF,4.6,75,2,4.4,4.4,0,0,1522,7,19,0,0,0,0,0,0,1,382.6,68.1,62.0,51.5,3.8,0,0.8,16.3,734202,363016,4796,5833,0.1,-0.1,0.0,0.0,0.43,1.16,1.59,21.43,17,36,144,26,180,10.64,,27,12,230,64,229,62,112,38,,,,,,,0.03,0.0,0.07,0.1,1.27,1.12,385,70,69,25,50,23,87,30,1.01,0.41
Matty Cash,Aston Villa,DEF,4.9,75,2,4.4,13.3,3,1,1502,5,17,0,0,0,0,4,0,6,362.2,233.3,111.0,70.7,3.8,2,0.8,15.3,2009136,689185,16914,23966,0.4,-0.4,0.0,0.0,0.66,1.41,2.07,22.28,17,30,69,37,99,5.93,,35,16,57,10,145,26,52,6,1.0,,,,,,0.04,0.0,0.08,0.12,1.34,1.02,297,49,70,26,51,24,28,8,1.02,0.3
Daniel Ballard,Sunderland,DEF,4.6,75,9,5.0,3.7,2,1,1119,4,12,0,0,0,0,2,0,7,381.8,71.6,238.0,69.2,4.3,1,0.9,16.3,893239,693078,22707,1393,0.1,-0.1,0.0,0.0,1.33,0.39,1.72,15.84,12,19,116,30,135,10.86,,28,13,226,62,51,3,58,10,,,,,,,0.11,0.0,0.03,0.14,1.27,0.97,384,69,42,16,22,11,95,35,0.97,0.32
David Raya,Arsenal,GKP,6.0,75,7,4.4,36.4,0,0,1530,9,10,0,0,0,27,1,0,4,266.8,10.3,0.0,27.8,3.7,1,0.6,12.5,3162644,1233003,12633,15819,0.5,-0.5,0.0,0.0,0.0,0.04,0.04,10.12,17,0,13,141,0,0.0,,110,16,372,3,760,88,253,16,,,,,,,0.0,1.59,0.0,0.0,0.6,0.59,87,1,87,8,54,5,5,1,1.0,0.53
Bryan Mbeumo,Man Utd,MID,8.2,74,0,4.6,12.7,6,1,1405,2,25,0,0,0,0,3,0,10,360.0,472.6,527.0,135.9,2.3,1,0.3,9.0,4685409,4915677,293,109114,0.2,-0.2,0.0,0.0,5.35,3.41,8.76,20.83,16,13,7,54,74,4.74,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,36,9,6,6,3,1,3,2,2.0,,2.0,,,,0.34,0.0,0.22,0.56,1.33,1.6,13,8,173,77,44,17,31,12,1.02,0.13
Reece James,Chelsea,DEF,5.6,74,7,4.6,9.4,2,4,1111,5,12,0,0,0,0,2,0,7,307.2,293.2,80.0,68.1,4.7,1,0.8,13.2,1321026,915118,39562,4691,0.1,-0.1,0.0,0.0,0.74,1.8,2.54,18.86,12,26,43,56,69,5.59,,77,33,37,2,192,42,65,14,2.0,,2.0,,,,0.06,0.0,0.15,0.21,1.53,0.97,129,13,37,13,41,19,43,15,0.97,0.41
Yankuba Minteh,Brighton,MID,6.1,74,3,4.4,6.9,1,7,1441,6,20,0,0,0,0,0,0,6,272.0,409.9,370.0,105.5,4.0,0,0.7,12.1,1770360,1072836,10717,31733,0.1,-0.1,0.0,0.0,2.66,2.61,5.27,20.94,17,29,17,60,106,6.62,,105,34,13,13,12,5,15,13,1.0,,,,,,0.17,0.0,0.16,0.33,1.31,1.25,85,56,63,30,55,21,62,21,1.06,0.37
Nico O'Reilly,Man City,DEF,5.3,74,6,4.6,11.2,1,3,1223,8,11,0,0,0,0,2,0,2,307.0,201.9,183.0,69.3,3.8,0,0.7,14.0,1647106,275545,29062,5008,0.3,-0.3,0.0,0.0,1.96,1.25,3.21,15.76,13,39,60,50,99,7.29,,78,34,76,18,72,5,57,9,,,,,,,0.14,0.0,0.09,0.23,1.16,0.81,200,30,76,31,40,18,35,12,0.96,0.59
Iliman Ndiaye,Everton,MID,6.3,73,0,4.6,4.5,4,2,1343,6,19,0,0,0,0,2,0,3,341.0,240.2,294.0,87.6,3.0,0,0.5,11.6,1459588,2207242,157,33711,-0.2,0.2,0.0,0.0,3.12,2.69,5.81,19.27,16,36,16,95,147,9.85,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,45,12,54,44,30,17,30,23,,,,,1.0,,0.21,0.0,0.18,0.39,1.29,1.27,71,47,125,58,42,15,83,29,1.07,0.4
Ryan Gravenberch,Liverpool,MID,5.6,73,2,4.9,4.7,3,3,1321,5,19,0,0,0,0,3,0,11,331.6,240.1,82.0,65.4,3.5,2,0.6,13.0,1351067,888618,27794,8767,0.1,-0.1,0.0,0.0,0.71,0.89,1.6,15.64,15,24,44,59,127,8.65,,59,16,55,45,186,110,72,45,,,,,,,0.05,0.0,0.06,0.11,1.07,1.29,130,82,94,43,24,11,82,28,1.02,0.34
Anton Stach,Leeds,MID,4.8,72,8,4.8,2.0,3,5,1180,2,24,0,0,0,0,2,0,6,306.8,428.5,172.0,90.8,5.3,2,1.1,15.0,659070,464829,25775,1808,-0.2,0.2,0.0,0.0,1.67,1.79,3.46,17.48,14,21,41,56,118,9.0,,79,24,10,10,81,50,25,20,3.0,,1.0,,,,0.13,0.0,0.14,0.27,1.33,1.83,358,223,16,9,28,12,130,43,1.07,0.15
João Pedro João Pedro,Chelsea,FWD,7.2,72,6,4.2,29.7,5,3,1350,7,14,0,0,0,0,2,0,13,337.6,316.1,380.0,103.0,2.2,3,0.3,10.0,4211350,7197654,12655,43578,-0.3,0.3,0.0,0.0,4.86,1.25,6.11,18.99,16,12,23,42,77,5.13,,51,4,32,1,11,7,17,3,,,,,,,0.32,0.0,0.08,0.4,1.27,0.93,31,13,188,23,70,7,10,3,1.07,0.47
Granit Xhaka,Sunderland,MID,5.2,71,3,4.2,6.5,1,4,1512,6,17,0,0,0,0,4,0,4,428.4,325.6,66.0,81.9,3.2,0,0.6,13.7,1061431,636926,24138,6469,0.2,-0.2,0.0,0.0,0.53,1.59,2.12,21.8,17,30,86,72,188,11.19,,11,3,29,28,219,121,33,24,1.0,,1.0,,,,0.03,0.0,0.09,0.12,1.3,1.01,208,128,109,49,68,29,65,22,1.01,0.36
Tyrick Mitchell,Crystal Palace,DEF,5.0,71,0,4.2,2.5,1,0,1524,7,19,0,0,0,0,2,0,5,317.6,208.5,91.0,61.8,2.7,1,0.5,14.2,366982,243788,2310,5734,0.0,0.0,0.0,0.0,0.39,0.94,1.33,21.43,17,51,72,87,123,7.26,,68,29,73,17,175,35,81,20,,,,,,,0.02,0.0,0.06,0.08,1.27,1.12,256,40,140,53,67,28,117,45,1.0,0.41
Marc Cucurella,Chelsea,DEF,6.2,70,1,4.1,22.7,0,2,1436,8,16,0,0,0,0,3,0,5,286.6,289.9,107.0,68.3,3.5,0,0.6,11.3,2349702,2166146,6610,43143,0.2,-0.2,0.0,0.0,0.58,1.99,2.57,21.7,16,33,70,66,103,6.46,,93,41,38,3,149,27,63,13,,,,,,,0.04,0.0,0.12,0.16,1.36,1.0,75,2,96,36,79,32,15,5,1.0,0.5
Enzo Enzo,Chelsea,MID,6.5,70,1,4.4,10.2,4,2,1366,7,15,0,0,0,0,2,0,6,338.8,398.7,363.0,110.2,3.7,1,0.6,10.8,2935995,2364225,9259,36937,0.0,0.0,0.0,0.0,6.19,2.87,9.06,18.59,15,24,20,63,107,7.05,,48,13,14,14,17,9,11,9,3.0,,3.0,,2.0,,0.41,0.0,0.19,0.6,1.22,0.99,53,34,89,40,56,22,40,16,0.99,0.46
Dominic Calvert-Lewin,Leeds,FWD,5.7,70,13,4.7,6.6,7,1,1029,3,16,0,0,0,0,0,0,13,274.2,155.5,480.0,90.3,7.5,2,1.3,12.3,1091905,294571,159058,5044,0.2,-0.2,0.0,0.0,6.33,0.62,6.94,12.44,11,6,10,20,36,3.15,,102,9,108,4,5,4,26,6,,,,,,,0.55,0.0,0.05,0.6,1.09,1.4,115,31,5,2,37,5,64,12,0.96,0.26
Jordan Pickford,Everton,GKP,5.5,70,2,4.1,10.7,0,0,1530,6,20,0,1,0,45,0,0,6,407.8,0.1,0.0,40.6,4.7,2,0.9,12.7,744948,827622,11424,7597,0.0,0.0,0.0,0.0,0.0,0.08,0.08,24.63,17,1,28,139,0,0.0,,20,5,443,16,750,86,177,6,,,,,,,0.0,2.65,0.0,0.0,1.45,1.18,136,3,34,3,76,6,37,4,1.0,0.35
Nordi Mukiele,Sunderland,DEF,4.2,70,6,4.7,6.5,1,2,1350,5,15,1,0,0,0,3,0,5,329.4,123.9,80.0,53.3,3.2,2,0.8,16.7,1087878,348224,26777,2226,0.2,-0.2,0.0,0.0,0.59,1.16,1.75,20.8,15,39,108,60,147,9.8,,60,27,146,36,191,41,104,31,,,,,,,0.04,0.0,0.08,0.12,1.39,1.0,607,147,104,38,35,17,66,23,1.0,0.33
Nick Woltemade,Newcastle,FWD,7.3,69,13,4.9,17.8,7,2,1095,5,15,1,0,0,0,0,0,10,304.2,133.2,325.0,75.8,4.8,1,0.7,9.5,4741862,2648958,112739,22144,0.3,-0.3,0.0,0.0,5.87,0.42,6.29,13.9,14,13,16,24,53,4.36,,82,8,132,7,25,12,44,9,,,,,3.0,,0.48,0.0,0.03,0.51,1.14,1.23,28,10,30,4,26,3,19,5,1.15,0.41
Josh Cullen,Burnley,MID,5.0,69,2,4.1,1.9,2,2,1461,3,29,1,0,0,0,2,0,8,337.6,214.6,91.0,64.5,2.7,1,0.5,13.8,556388,389080,3997,3349,0.0,0.0,0.0,0.0,0.9,1.35,2.25,32.22,17,29,67,69,165,10.16,,50,14,70,52,174,103,73,46,,,,,,,0.06,0.0,0.08,0.14,1.98,1.79,242,150,139,63,74,31,135,45,1.05,0.18
Mohammed Kudus,Spurs,MID,6.4,68,1,4.2,14.7,2,6,1343,5,20,0,0,0,0,3,0,7,318.0,397.3,259.0,97.4,3.8,2,0.6,10.6,3149770,4439441,9205,32698,-0.1,0.1,0.0,0.0,1.69,2.37,4.06,20.65,16,27,5,83,115,7.71,,66,19,15,15,41,25,22,17,2.0,,1.0,,,,0.11,0.0,0.16,0.27,1.38,1.34,64,41,80,34,69,30,26,10,1.07,0.34
Carlos Henrique Casemiro,Man Utd,MID,5.5,67,0,4.5,0.9,4,3,991,3,13,0,0,0,0,5,1,6,302.8,148.9,220.0,67.3,3.3,2,0.6,12.2,255643,189500,3051,4440,0.0,0.0,0.0,0.0,2.6,0.57,3.17,12.41,14,30,40,55,125,11.35,,83,25,116,85,61,37,68,43,,,,,,,0.24,0.0,0.05,0.29,1.13,1.18,134,84,102,47,49,19,185,60,1.27,0.27
Malo Gusto,Chelsea,DEF,5.0,67,-1,4.5,2.6,2,2,940,6,9,0,0,0,0,1,1,7,237.2,178.6,102.0,51.8,4.7,2,0.9,13.4,331800,232167,9083,11036,0.0,0.0,0.0,0.0,1.15,0.7,1.85,15.96,10,24,33,59,57,5.46,,131,55,88,23,156,29,110,36,,,,,,,0.11,0.0,0.07,0.18,1.53,0.86,264,43,32,11,46,20,114,44,0.96,0.57
Dan Burn,Newcastle,DEF,5.1,67,0,4.5,5.7,0,3,1255,6,17,0,0,0,0,3,1,5,270.2,72.4,60.0,40.3,3.2,1,0.6,13.1,1461669,1312499,80,64008,0.1,-0.1,-0.1,0.1,0.12,0.3,0.42,12.38,15,19,102,46,121,8.68,Rib Injury - Expected back 18 Jan,106,48,225,61,235,67,179,59,,,,,,,0.01,0.0,0.02,0.03,0.89,1.22,226,35,107,40,47,21,71,24,1.08,0.43
Robert Sánchez,Chelsea,GKP,4.9,67,4,3.9,15.0,0,1,1444,8,17,0,0,0,35,2,1,4,327.0,50.0,0.0,37.5,5.0,1,1.0,13.7,1074763,2082143,12029,9452,-0.1,0.1,0.0,0.0,0.0,0.02,0.02,21.3,17,0,15,133,0,0.0,,61,12,269,1,705,80,193,9,,,,,,,0.0,2.18,0.0,0.0,1.33,1.06,305,13,23,2,82,8,24,3,1.06,0.5
Joško Gvardiol,Man City,DEF,6.0,67,6,5.2,8.9,2,1,1128,6,12,0,0,0,0,2,0,4,286.6,81.6,152.0,52.1,5.5,2,0.9,11.2,1118623,1213681,20957,5852,0.0,0.0,0.0,0.0,1.51,0.56,2.07,14.16,13,11,69,46,80,6.38,,92,40,206,52,96,12,108,34,,,,,,,0.12,0.0,0.04,0.16,1.13,0.96,90,4,13,4,16,7,48,17,1.04,0.48
Jan Paul Van Hecke,Brighton,DEF,4.6,66,0,4.1,4.4,3,1,1440,3,23,1,0,0,0,3,0,4,481.8,87.6,178.0,75.0,4.3,1,0.9,14.3,606499,193741,5722,14350,0.1,-0.1,0.0,0.0,1.79,0.58,2.36,21.26,16,24,101,49,125,7.81,,5,3,191,50,76,6,45,3,,,,,,,0.11,0.0,0.04,0.15,1.33,1.44,387,71,43,17,72,30,86,29,1.0,0.19
Jack Grealish,Everton,MID,6.5,66,2,4.1,10.2,2,4,1340,6,18,0,0,0,0,3,0,10,307.4,412.0,338.0,105.7,3.8,2,0.6,10.2,3476752,2910707,26622,16134,0.0,0.0,0.0,0.0,1.86,3.09,4.95,20.69,15,16,23,72,111,7.46,,76,23,12,12,22,11,14,12,,,,,,,0.12,0.0,0.21,0.33,1.39,1.21,48,31,81,35,80,34,39,15,1.01,0.4
Eberechi Eze,Arsenal,MID,7.7,66,0,4.4,15.9,4,3,991,6,6,0,0,0,0,0,0,6,252.4,158.5,281.0,69.1,4.2,2,0.5,8.6,3175354,2547757,8469,100963,0.2,-0.2,0.0,0.0,2.54,1.41,3.95,6.0,12,11,13,40,64,5.81,,121,43,104,76,34,20,59,39,,,,,,,0.23,0.0,0.13,0.36,0.54,0.54,19,13,55,24,59,24,21,7,1.09,0.54
João Maria J.Palhinha,Spurs,MID,5.5,66,4,4.1,1.1,2,3,1085,3,16,0,0,0,0,3,0,9,310.2,65.8,103.0,48.1,2.5,0,0.5,12.0,340990,288949,1039,2762,0.0,0.0,0.0,0.0,0.75,0.39,1.14,16.44,12,65,40,43,148,12.28,,74,22,237,146,155,91,133,70,,,,,,,0.06,0.0,0.03,0.09,1.36,1.33,137,86,152,69,77,33,175,57,1.0,0.25
